query_gallery_id,query_path,gallery_id,gallery_path,rank,distance
bzrrcb,bzrrcb,b8kvq3,b8kvq3,1,0.3547874987125397
bzrrcb,bzrrcb,40yjc4,40yjc4,2,0.35947152972221375
bzrrcb,bzrrcb,fzpn5c,fzpn5c,3,0.3696390688419342
bzrrcb,bzrrcb,c22iyc,c22iyc,4,0.43609583377838135
bzrrcb,bzrrcb,i3e6z5,i3e6z5,5,0.535641610622406
bzrrcb,bzrrcb,l4c4u0,l4c4u0,6,0.554833710193634
bzrrcb,bzrrcb,ccb5v8,ccb5v8,7,0.5843692421913147
bzrrcb,bzrrcb,hjskq6,hjskq6,8,0.5888317823410034
bzrrcb,bzrrcb,ebide1,ebide1,9,0.6505762934684753
bzrrcb,bzrrcb,djwkkh,djwkkh,10,0.6591184735298157
bzrrcb,bzrrcb,ncg9h2,ncg9h2,11,0.6846628785133362
bzrrcb,bzrrcb,na66z1,na66z1,12,0.7044896483421326
bzrrcb,bzrrcb,38zz45,38zz45,13,0.7403908967971802
bzrrcb,bzrrcb,laiyxf,laiyxf,14,0.7490343451499939
bzrrcb,bzrrcb,oflzp6,oflzp6,15,0.7542118430137634
bzrrcb,bzrrcb,ele7qd,ele7qd,16,0.7598294019699097
bzrrcb,bzrrcb,ay2ic4,ay2ic4,17,0.7751376628875732
bzrrcb,bzrrcb,veybp4,veybp4,18,0.7781273126602173
bzrrcb,bzrrcb,xt44yc,xt44yc,19,0.8147214651107788
bzrrcb,bzrrcb,0t2x07,0t2x07,20,0.8267372846603394
bzrrcb,bzrrcb,tvgkph,tvgkph,21,0.8505383729934692
bzrrcb,bzrrcb,05gks1,05gks1,22,0.8530771136283875
bzrrcb,bzrrcb,12u6g7,12u6g7,23,0.8556285500526428
bzrrcb,bzrrcb,elcnk6,elcnk6,24,0.8670645356178284
bzrrcb,bzrrcb,25ynt9,25ynt9,25,0.8689113855361938
bzrrcb,bzrrcb,da80r6,da80r6,26,0.8711128234863281
bzrrcb,bzrrcb,bp1br5,bp1br5,27,0.882110059261322
bzrrcb,bzrrcb,gzkks4,gzkks4,28,0.8953385949134827
bzrrcb,bzrrcb,gnf1da,gnf1da,29,0.8962628245353699
bzrrcb,bzrrcb,c1cvaf,c1cvaf,30,0.9030500650405884
bzrrcb,bzrrcb,65zcle,65zcle,31,0.9249638319015503
bzrrcb,bzrrcb,wngi78,wngi78,32,0.9381165504455566
bzrrcb,bzrrcb,uses8h,uses8h,33,0.9407426118850708
bzrrcb,bzrrcb,qsb7h2,qsb7h2,34,0.9472478628158569
bzrrcb,bzrrcb,r4r1j0,r4r1j0,35,0.9493657350540161
bzrrcb,bzrrcb,tgado9,tgado9,36,0.9508082866668701
bzrrcb,bzrrcb,i8sxka,i8sxka,37,0.9571856260299683
bzrrcb,bzrrcb,hczvl7,hczvl7,38,0.9720327258110046
bzrrcb,bzrrcb,5v145b,5v145b,39,0.9724075794219971
bzrrcb,bzrrcb,k7tkj1,k7tkj1,40,0.9822909235954285
bzrrcb,bzrrcb,svyrr0,svyrr0,41,0.9887866973876953
bzrrcb,bzrrcb,jgwthh,jgwthh,42,1.0024608373641968
bzrrcb,bzrrcb,nu639a,nu639a,43,1.0093491077423096
bzrrcb,bzrrcb,6j6smg,6j6smg,44,1.0150457620620728
bzrrcb,bzrrcb,magt44,magt44,45,1.0177464485168457
bzrrcb,bzrrcb,umbqqb,umbqqb,46,1.0230904817581177
bzrrcb,bzrrcb,rlqyn4,rlqyn4,47,1.023451328277588
bzrrcb,bzrrcb,kdxq7g,kdxq7g,48,1.0336780548095703
bzrrcb,bzrrcb,galyr6,galyr6,49,1.0490309000015259
bzrrcb,bzrrcb,mnxmx4,mnxmx4,50,1.0528907775878906
bzrrcb,bzrrcb,pasj9d,pasj9d,51,1.0656185150146484
bzrrcb,bzrrcb,dyttp1,dyttp1,52,1.0659198760986328
bzrrcb,bzrrcb,qdapx4,qdapx4,53,1.066503882408142
bzrrcb,bzrrcb,wst9u2,wst9u2,54,1.066933035850525
bzrrcb,bzrrcb,4ecpph,4ecpph,55,1.0695445537567139
bzrrcb,bzrrcb,13ji16,13ji16,56,1.0727919340133667
bzrrcb,bzrrcb,85ows9,85ows9,57,1.0759103298187256
bzrrcb,bzrrcb,s8o6f6,s8o6f6,58,1.0770256519317627
bzrrcb,bzrrcb,k492z8,k492z8,59,1.0801727771759033
bzrrcb,bzrrcb,mt0c58,mt0c58,60,1.083959698677063
bzrrcb,bzrrcb,39k540,39k540,61,1.0840964317321777
bzrrcb,bzrrcb,n1exr3,n1exr3,62,1.0912578105926514
bzrrcb,bzrrcb,k398h6,k398h6,63,1.0969328880310059
bzrrcb,bzrrcb,aoy4db,aoy4db,64,1.097546100616455
bzrrcb,bzrrcb,bkkl0c,bkkl0c,65,1.0978105068206787
bzrrcb,bzrrcb,3sa3ah,3sa3ah,66,1.0981630086898804
bzrrcb,bzrrcb,q9pqsc,q9pqsc,67,1.1028159856796265
bzrrcb,bzrrcb,b2cnae,b2cnae,68,1.1062703132629395
bzrrcb,bzrrcb,4m9xdf,4m9xdf,69,1.1140817403793335
bzrrcb,bzrrcb,8q5ypa,8q5ypa,70,1.1207373142242432
bzrrcb,bzrrcb,4smcuf,4smcuf,71,1.1209948062896729
bzrrcb,bzrrcb,6emeza,6emeza,72,1.1264501810073853
bzrrcb,bzrrcb,n9dpga,n9dpga,73,1.130368709564209
bzrrcb,bzrrcb,ry3kpf,ry3kpf,74,1.1369274854660034
bzrrcb,bzrrcb,yzvnd4,yzvnd4,75,1.137253999710083
bzrrcb,bzrrcb,w6rik0,w6rik0,76,1.1382447481155396
bzrrcb,bzrrcb,e8g7w3,e8g7w3,77,1.1385263204574585
bzrrcb,bzrrcb,yp698d,yp698d,78,1.140340805053711
bzrrcb,bzrrcb,iplat0,iplat0,79,1.1410835981369019
bzrrcb,bzrrcb,qma812,qma812,80,1.1412017345428467
bzrrcb,bzrrcb,2m19e9,2m19e9,81,1.1413280963897705
bzrrcb,bzrrcb,a8w9ib,a8w9ib,82,1.1468453407287598
bzrrcb,bzrrcb,l58ew3,l58ew3,83,1.1577991247177124
bzrrcb,bzrrcb,1g1zt6,1g1zt6,84,1.1587350368499756
bzrrcb,bzrrcb,dkr9la,dkr9la,85,1.1623042821884155
bzrrcb,bzrrcb,uv14j3,uv14j3,86,1.163796067237854
bzrrcb,bzrrcb,2fv2sd,2fv2sd,87,1.1676714420318604
bzrrcb,bzrrcb,h106l5,h106l5,88,1.1687672138214111
bzrrcb,bzrrcb,gd74b6,gd74b6,89,1.1692640781402588
bzrrcb,bzrrcb,pv90nb,pv90nb,90,1.1804550886154175
bzrrcb,bzrrcb,18vuoa,18vuoa,91,1.1809176206588745
bzrrcb,bzrrcb,3wacgc,3wacgc,92,1.1835628747940063
bzrrcb,bzrrcb,vis5r4,vis5r4,93,1.191149353981018
